,ID,ROOM NAME,LOCALITY,REGION,OLD PRICE,ratings
134,290,MedRooms  368 Block 11A Channa Market Karol Bagh,"W.E.A, Channa Market, Karol Bagh",Delhi,1549.0,3
135,82,MedRooms Homes 382 Pitampura Metro Station,Road no 44,Delhi,2149.0,3
136,295,MedRooms  406 Railway Station Paharganj 4,Arakashan Road,Delhi,1399.0,3
137,85,MedRooms  296 Railway Station Paharganj 2,Paharganj,Delhi,1449.0,3
138,17,MedRooms  257 Rajendra Place PUSA Circle,East Patel Nagar,Delhi,2499.0,3
139,81,MedRooms Premium 483 Lajpat Nagar Ring Road 2,Ring Road,Delhi,4199.0,3
140,77,MedRooms Premium 236 Malviya Nagar Metro,Malviya Nagar,Delhi,3999.0,3
141,185,MedRooms  480 IGI Airport 4,"Road no 2, Mahipalpur",Delhi,1649.0,3
142,148,MedRooms  082 Patel Nagar Main Market,Main Market,Delhi,3399.0,3
143,151,MedRooms  157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",Delhi,1899.0,3
144,329,MedRooms  398 South Extension 2,South Extension-ll,Delhi,2299.0,3
145,175,MedRooms  280 J Block Vikaspuri Delhi,Vikaspuri,Delhi,2199.0,3
146,172,MedRooms Premium 534 Dwarka Near Ramphal Chowk,Dwarka Palam Road,Delhi,2549.0,3
147,176,MedRooms Homes 110 Jangpura Ext,Jangpura Extension,Delhi,3049.0,3
148,145,MedRooms Premium 586 Near Meera Bagh,"Outer Ring Road, Meera Bagh",Delhi,3949.0,3
149,330,MedRooms  516 Shakti Vihar Pitampura,Pitampura,Delhi,2249.0,3
150,124,MedRooms  545 Rohini Pitampura,"Saraswati Vihar, Pitampura",Delhi,3149.0,3
151,123,MedRooms  555 Pitampura,"Rajdhani Enclave,Pitampura",Delhi,3299.0,3
152,1,MedRooms Flagship 485 GK2 Savitri Cinema,"E Block,GK2",Delhi,3149.0,3
153,2,MedRooms Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi,1799.0,3
154,15,MedRooms  030 IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,3799.0,3
155,37,MedRooms  509 Near Badarpur,"60 Feet Road, Pul Pehlad Pur",Delhi,1699.0,3
156,46,MedRooms  653 Near Kailash Colony Metro,Kailash Colony,Delhi,2749.0,3
157,50,MedRooms  528 8A/50 Channa Market,"Channa Market, Karol Bagh",Delhi,2399.0,3
158,60,MedRooms  641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",Delhi,1849.0,3
159,65,MedRooms  666 Nehru Place Near Metro Station,Nehru Enclave,Delhi,3299.0,3
160,68,MedRooms  044 Patel Nagar Delhi,East Patel Nagar,Delhi,2299.0,3
161,70,MedRooms  553 Paharganj Flyover 1,"D.B. Gupta Road, Paharganj",Delhi,1799.0,3
162,74,MedRooms Premium 532 GK1 M Block Market 1,Greater Kailash 1,Delhi,4649.0,3
163,75,MedRooms  027 Karol Bagh 8/41,Karol Bagh,Delhi,1649.0,3
164,226,MedRooms  332 New Delhi Railway Station Paharganj,"Kaseru Walan, Paharganj",Delhi,1349.0,3
165,189,MedRooms  203 llahi Bux Marg Karol Bagh,Karol Bagh,Delhi,2049.0,3
166,317,MedRooms Premium 172 Laxmi Nagar,Laxmi Nagar,Delhi,2549.0,3
167,319,MedRooms  259 Rajguru Road Paharganj,Paharganj,Delhi,1499.0,3
168,263,MedRooms Premium 029 Siri Fort Road,Sadiq Nagar,Delhi,4099.0,2
169,206,MedRooms  314 10174/1 Gurudwara Road Karol Bagh,Karol Bagh,Delhi,1399.0,2
170,48,MedRooms  486 IGI Airport Near Main Road,"Near Prem Motor Showroom, Adjoining Vasantkunj Road",Delhi,1599.0,2
171,311,MedRooms  572 DB Gupta Road Karol Bagh 2,"D.B. Gupta Road, Karol Bagh",Delhi,1399.0,2
172,27,MedRooms Premium 292 Lajpat Nagar Main Road,Lajpat Nagar 4,Delhi,4299.0,2
173,119,MedRooms Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",Delhi,3349.0,2
174,58,MedRooms  599 Rajguru Road Paharganj 2,"Rajguru Road, Chuna Mandi",Delhi,1149.0,2
175,287,MedRooms Homes 325 AIIMS,Arjun Nagar,Delhi,1999.0,2
176,62,MedRooms Premium 143 Rajouri Garden Janta Market,Rajouri Garden,Delhi,3199.0,2
177,63,MedRooms  565 Airport Travellers Delight,"Street No.7, Near IGI Airport, Mahipalpur",Delhi,2699.0,2
178,285,MedRooms Premium 083 Karol Bagh Metro Station,Karol Bagh,Delhi,1999.0,2
179,57,MedRooms  567 Paharganj Near RK Ashram Metro,Near R.K. Ashram Metro Station,Delhi,1949.0,2
180,164,MedRooms  014 New Friends Colony Crossroad,CV Raman Marg,Delhi,2249.0,2
181,221,MedRooms  265 Balaji Mandir Karol Bagh,Karol Bagh,Delhi,1799.0,2
182,216,MedRooms  147 Karol Bagh 14A/7,Karol Bagh,Delhi,2399.0,2
183,204,MedRooms  530 Krishna Gali Near NDLS Gate 1,"Near New Delhi Railway Station, Paharganj",Delhi,1299.0,2
184,296,MedRooms Homes 101 GK N Block Market,"Greater Kailash-1, New Delhi",Delhi,2449.0,2
185,198,MedRooms  313 Channa Market 14A/4 Karol Bagh,Karol Bagh,Delhi,2049.0,2
186,155,MedRooms  205 Dwarka Sector 12 Metro Station,Dwarka,Delhi,3399.0,2
187,136,MedRooms Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",Delhi,3299.0,2
188,134,MedRooms  039 Near Qutub Road Arya Nagar Paharganj,Paharganj,Delhi,1099.0,2
189,159,MedRooms  219 Grace Church NFC,Kirokli,Delhi,2649.0,2
190,133,MedRooms Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",Delhi,3549.0,2
191,132,MedRooms  124 Kirti Nagar,Kirti Nagar,Delhi,1549.0,2
192,207,MedRooms  653 Near Kailash Colony Metro,Kailash Colony,Delhi,2749.0,2
193,177,MedRooms  204 Rajendra Place Metro Station,East Patel Nagar,Delhi,2299.0,2
194,184,MedRooms Homes 456 Rani Bagh,Rani Bagh,Delhi,1799.0,2
195,179,MedRooms  263 PVR Vikas Puri,Vikas Puri,Delhi,2549.0,2
